生命周期阶段	未消费天数	序号	Push标题	Push文案	SMS文案	是否溢出备选	中文翻译
0-1单	3	01	Great news just dropped	Your ${couponMinDiscount} just landed. Tap in and make today a little more rewarding.	Great news, your ${couponMinDiscount} just landed. Time to make today a little more rewarding.	否	你的 ${couponMinDiscount} 刚到账。点开看看，让今天更值得一点。
0-1单	7	02	Your coffee break is calling	Your ${couponMinDiscount} is ready now. Swing by and enjoy an easy treat today.	Your ${couponMinDiscount} is ready now. Swing by and enjoy a little treat today.	否	你的 ${couponMinDiscount} 已经就位。顺手来一单，给今天加点轻松小奖励。
0-1单	14	03	A fresh perk for today	Your ${couponMinDiscount} is live for you. Claim it and bring a nice break back to your day.	Your ${couponMinDiscount} is live for you. Claim it and bring a nice break back to your day.	否	你的 ${couponMinDiscount} 已上线。领一下，给今天找回一点舒服的休息节奏。
0-1单	21	04	Time for a smooth return	Your ${couponMinDiscount} is here to welcome you back. Come by whenever the moment feels right.	Your ${couponMinDiscount} is here to welcome you back. Come by whenever the moment feels right.	否	你的 ${couponMinDiscount} 已经准备好迎你回来。想来的时候，随时都合适。
0-1单	31	05	We saved you a good deal	Your ${couponMinDiscount} is ready to go. Pick your moment and enjoy a well-deserved treat today.	Your ${couponMinDiscount} is ready to go. Pick your moment and enjoy a well-deserved treat today.	否	你的 ${couponMinDiscount} 已经可以用了。挑个合适的时候，给自己一点应得的小奖励。
0-1单	41	06	Your comeback starts here	Your ${couponMinDiscount} just showed up. Redeem it today and ease back into the ritual.	Your ${couponMinDiscount} just showed up. Redeem it today and ease back into the ritual.	否	你的 ${couponMinDiscount} 刚刚到账。今天用掉，轻松回到熟悉的节奏里。
0-1单	51	07	A little treat, on cue	Your ${couponMinDiscount} is waiting for you. Use it today and make room for a nice break again.	Your ${couponMinDiscount} is waiting for you. Use it today and make room for a nice break again.	否	你的 ${couponMinDiscount} 正在等你。今天用掉，再给自己留一点放松时间。
0-1单	61	08	Luck is back in town	Your ${couponMinDiscount} is still available. Bring it back into rotation today.	Your ${couponMinDiscount} is still available. Bring it back into rotation today.	否	你的 ${couponMinDiscount} 还在。今天安排上，重新回到日常节奏里。
0-1单	7	09	Where've you bean	Your ${couponMinDiscount} just came through. Stop by and reunite with your ritual.	Your ${couponMinDiscount} just came through. Time to reunite with your ritual.	是	你的 ${couponMinDiscount} 刚刚到账。顺手回来一下，重新找回熟悉的仪式感。
0-1单	14	10	A lucky little comeback	Your ${couponMinDiscount} is in place. Take the hint and treat yourself today.	Your ${couponMinDiscount} is in place. Take the hint and treat yourself today.	是	你的 ${couponMinDiscount} 已经到位。今天就顺势宠自己一下。
0-1单	21	11	Your usual moment awaits	Your ${couponMinDiscount} is ready for today. Drop in and get back to that familiar feeling.	Your ${couponMinDiscount} is ready for today. Drop in and get back to that familiar feeling.	是	你的 ${couponMinDiscount} 今天可用。回来一下，找回那种熟悉的感觉。
0-1单	31	12	Perk unlocked for you	Your ${couponMinDiscount} has arrived. Make the most of it and enjoy a break on your time.	Your ${couponMinDiscount} has arrived. Make the most of it and enjoy a break on your time.	是	你的 ${couponMinDiscount} 已到账。趁这个机会，按自己的节奏休息一下。
0-1单	41	13	Coffee reunion, anyone?	Your ${couponMinDiscount} is live now. Let it brighten up today's schedule.	Your ${couponMinDiscount} is live now. Let it brighten up today's schedule.	是	你的 ${couponMinDiscount} 已上线。让它给今天的安排加一点亮点。
0-1单	51	14	Today's deal looks good	Your ${couponMinDiscount} is here for a reason. Give yourself a simple break today.	Your ${couponMinDiscount} is here for a reason. Give yourself a simple break today.	是	你的 ${couponMinDiscount} 这时候出现，总有它的理由。今天就给自己一点简单的放松。
0-1单	61	15	Back for a Sip	Your ${couponMinDiscount} is ready when you are. Come back and keep it easy today.	Your ${couponMinDiscount} is ready when you are. Come back and keep it easy today.	是	你的 ${couponMinDiscount} 随时可用。今天轻松回来一下就好。
1-2单	3	01	Keep the momentum brewing	Your ${couponMinDiscount} is ready for round two. Keep the momentum going today.	Your ${couponMinDiscount} is ready for round two. Keep the momentum going today.	否	你的 ${couponMinDiscount} 已经为下一单准备好了。趁今天把这个节奏接上。
1-2单	7	02	Double up on good timing	Your ${couponMinDiscount} just landed. Tap in and keep the streak feeling fresh.	Your ${couponMinDiscount} just landed. Tap in and keep the streak feeling fresh.	否	你的 ${couponMinDiscount} 刚到账。点开看看，把这个状态继续保持下去。
1-2单	14	03	Halfway to habit	Your ${couponMinDiscount} is live now. Use it to keep the routine going.	Your ${couponMinDiscount} is live now. Use it to keep the routine going.	否	你的 ${couponMinDiscount} 已上线。用起来，把这个习惯继续延续下去。
1-2单	21	04	Your next order looks good	Your ${couponMinDiscount} is waiting in the app. Make today another good stop.	Your ${couponMinDiscount} is waiting in the app. Make today another good stop.	否	你的 ${couponMinDiscount} 正在等你。今天顺手再来一次，节奏就接上了。
1-2单	31	05	Don't lose the rhythm	Your ${couponMinDiscount} is here for your next visit. Bring the routine back this week.	Your ${couponMinDiscount} is here for your next visit. Bring the routine back this week.	否	你的 ${couponMinDiscount} 已经为下一次准备好了。这周把熟悉的节奏找回来。
1-2单	41	06	Routine upgraded again	Your ${couponMinDiscount} just dropped for you. Step back in and keep the habit warm.	Your ${couponMinDiscount} just dropped for you. Step back in and keep the habit warm.	否	你的 ${couponMinDiscount} 刚刚到账。回来一下，把这个习惯继续保持热度。
1-2单	51	07	Another good reason to stop by	Your ${couponMinDiscount} is ready to use today. Treat yourself and keep the rhythm in rotation.	Your ${couponMinDiscount} is ready to use today. Treat yourself and keep the rhythm in rotation.	否	你的 ${couponMinDiscount} 今天可用。顺手犒劳一下自己，也把节奏继续维持住。
